id,collection,subject_id,filename,user_name,created_at,Collected by,Collection date,Collector Number,Country,County,Habitat and description,Location,Scientific author,Scientific name,State/Province
5176cbbcded9103e3c000034,Herbarium,516db98cea30524109000f03,000053206.large.png,user759,2013-04-23 17:58:20,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000 ft.",(Raf.) A. Nels,SEDUM INTEGRIFOLIUM,CO
5176cbb7ded9103e3c00002c,Herbarium,516db57fea3052410900080b,000054867.large.png,not-logged-in,2013-04-23 17:58:20,"R, K, Godfrey",08/23/1973,72532,,Ouray,"elevation 11,000 ft","Small mountain meadow, Red Mt. Oass, N of Silverton el 11,000 ft",A. Nels,sedum integrifolium,CO
5176cbc0ded9103e3c00003f,Herbarium,516db9feea30524109000fd0,000053806.large.png,not-logged-in,2013-04-23 17:58:24,No. 72532,08/23/1973,Det. RKG,,Ouray,Collected by R. K. Godfrey,Date: 23 August 1973,"Small mountain meadow, Red Mt. Pass N. of Silverton, el 11,000 f.",Sedum integrifolium (Raf.) A. Nels,CO
5176cbc1ded9103e3c000040,Herbarium,516db246ea305241090001a7,000053845.large.png,user371,2013-04-23 17:58:25,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"N of Silverton, el 11,000 ft.",(Raf.) A. Nels,SEDUM INTEGRIFOLIUM,CO
5176cbc2ded9103e3c000044,Herbarium,516dbcaeea30524109001452,000010088.large.png,user1838,2013-04-23 17:58:31,R K Godfrey,11/08/1969,69251,,Taylor,Shrub ca 2 m tall,"In slash pine flatwoods, 12 miles SE of Perry.",Godfrey,BACCHARIS GLOMERULIFLORA,FL
5176cbcfded9103e3c00004b,Herbarium,516dc152ea30524109001b93,000054057.large.png,user1448,2013-04-23 17:58:39,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Small mountain meadow, Red Mt. Pass, N of Silverton, wl 11,000 ft.",(Raf.) A. Nels,Sedum Integrifolium,CO
5176cbd8de59d928e8000013,Herbarium,516dc0d1ea30524109001ab4,000057215.large.png,not-logged-in,2013-04-23 17:58:43,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000 ft.",(Raf.) A. Nels,SEDUM INTEGRIFOLIUM,CO
5176cbd4de59d928e8000009,Herbarium,516db867ea30524109000d07,000052438.large.png,not-logged-in,2013-04-23 17:58:44,R. K. Godfrey,08/23/1973,72532,,Ouray,"Small mountain meadow. el 11,000 ft.","Red Mt. Pass, N of Silverton",(Raf.) A. Nels,Sedum Integrifolium,CO
5176cbcfded9103e3c00004a,Herbarium,516dc0a4ea30524109001a61,000033535.large.png,user1827,2013-04-23 17:58:44,R. Lazor,10/25/1968,1335,,Wakulla,Roadside margin of ti-ti thicket in pine flatwoods,6-8 miles W of junction of Hwy 268 and Apalachicola Forest Rd.,R. Lazor,Eupatorium perfoliatum L.,FL
5176cbd7de59d928e800000f,Herbarium,516db83fea30524109000cc6,000053683.large.png,user1382,2013-04-23 17:58:47,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Siverton, el 11,000 ft",A. Nels,Sedum Integrifolium,CO
5176cbd6ded9103e3c00004c,Herbarium,516dc080ea30524109001a39,000052536.large.png,user1501,2013-04-23 17:58:51,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000 ft.",Raf.,Sedum Integrifolium,CO
5176cbe4de59d928e8000018,Herbarium,516dbf84ea3052410900188d,000040560.large.png,not-logged-in,2013-04-23 17:58:55,R. K. Godfrey,10/24/1977,76104,,Calhoun,Wet sands of exposed shores of river,Shores of Apalachicola River at Ocheesee Landing,(Lam.) Gray,Leptochloa Fascicularis,FL
5176cbdaded9103e3c000051,Herbarium,516db78fea30524109000b8d,000032762.large.png,not-logged-in,2013-04-23 17:58:55,Holly D. Maurushat,10/01/1968,52,,Taylor,Plants intermixed on open pond bad lacking surface water.,At junction of US27 and State Road 361.,Holly D. Maurushat,Eupatorium Capillifolium,FL
5176cbeade59d928e800001f,Herbarium,516dbe14ea3052410900162f,000051503.large.png,not-logged-in,2013-04-23 17:59:06,R. K. Godfrey,,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000 ft.",(Raf.) A. Nels,SEDUM INTEGRIFOLIUM,CO
5176cbf6de59d928e8000028,Herbarium,516db9f0ea30524109000fba,000054141.large.png,not-logged-in,2013-04-23 17:59:17,R. K. Godfrey,08/23/1973,72532,,Ouray,"Small mountain meadow, elevation 10000 feet","Small mountain meadow, Red Mt. Pass, N. of Silverton, el 10000 ft.",R. K. Godfrey,Sedum integrifolium (Raf.) A. Nels,CO
5176cbfdded9103e3c000066,Herbarium,516db2d6ea305241090002c2,000009795.large.png,not-logged-in,2013-04-23 17:59:25,J. P. Gillespie,05/12/1958,913 (a),,placeholder,"Root tip preserved, seeds saved","City Cleaners, Athens, Alabama",J. Bain,Senecio glabellus poir,placeholder
5176cbffde59d928e8000034,Herbarium,516dbe4cea30524109001694,000053257.large.png,user1189,2013-04-23 17:59:27,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Small mountain meadow, N of Silverton, el 11,000 ft.",(Raf.) A. Nels,SEDUM INTEGRIFOLIUM,CO
5176cc00de59d928e8000035,Herbarium,516db5a5ea30524109000848,000053067.large.png,user106,2013-04-23 17:59:28,R.K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000 ft.",(Raf.) A. Nels,Sedum integrifolium,CO
5176cc08de59d928e8000037,Herbarium,516dbfb2ea305241090018d5,000050371.large.png,not-logged-in,2013-04-23 17:59:36,Robert Kral,08/20/1958,7921,,Sumter,wet flatwoods sands,3 miles southwest Tarrytown,Chapm.,Xyris serotina,FL
5176cc0bded9103e3c00007c,Herbarium,516dc2b7ea30524109001e1a,000052719.large.png,not-logged-in,2013-04-23 17:59:39,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000 ft",A. Nels,Sedum Integrifolium,CO
5176cc07ded9103e3c000076,Herbarium,516db51aea30524109000758,000056630.large.png,not-logged-in,2013-04-23 17:59:40,R.K. Godfrey,08/23/1973,72532,,Ouray,meadow,"Small mountain meadow, Red Mt. Pass, N of Silverton, el 11,000 ft.",(Raf.) A. Nels,Sedum Integrifolium,CO
5176cc12de59d928e8000038,Herbarium,516dba69ea30524109001087,000053070.large.png,user762,2013-04-23 17:59:41,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el, 11,000 ft.",(Raf.) A. Nels,Sedum Integrifolium,CO
5176cc1fded9103e3c000091,Herbarium,516dc251ea30524109001d5b,000051456.large.png,not-logged-in,2013-04-23 17:59:59,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,Small mountain meadow,(Raf.) A. Nels,SEDUM INTEGRIFLIUM (Raf.) A. Nels,CO
5176cc2aded9103e3c00009b,Herbarium,516db94aea30524109000e87,000046897.large.png,not-logged-in,2013-04-23 18:00:10,"R, K. Godfrey",04/12/1964,63290,,Liberty,"Hardwood forest, Apalachicola River bluffs",Torreya State Park,S. McDaniel,Vaccinium Stamineum L.,FL
5176cc36ded9103e3c0000a0,Herbarium,516db936ea30524109000e65,000027287.large.png,not-logged-in,2013-04-23 18:00:21,R. K. Godfrey,09/08/1960,60255,,Liberty,Clearing of woodland along river,"Clearing of bottomland woodland along the Ochlockonee River, W of Tallahassee",Michx. James W. Kessler,Scleria ciliata,FL
5176cc42de59d928e800004f,Herbarium,516dbdfbea30524109001602,000023972.large.png,not-logged-in,2013-04-23 18:00:34,,07/13/1955,53641,,Leon,"On peat, exsiccated lake bottom, Lake Bradford",Lake Bradford,Kral,Fuirena Pumila Torr,FL
5176cc4ade59d928e8000051,Herbarium,516dbe3cea30524109001675,000008941.large.png,not-logged-in,2013-04-23 18:00:37,K.Craddock Burks,11/07/1990,618,,Leon,,"Frequent along grassy field track paralleling S side of Panther Creek drainage, close to junciton with Magnolia Rd., Ring Oak Plantation. NW1/4 of NE1/4 Sec 22, T2N R3E",(L.) Britt.,Aster Lateriflorus,FL
5176cc47ded9103e3c0000ad,Herbarium,516db5b3ea30524109000863,000044216.large.png,not-logged-in,2013-04-23 18:00:39,D. W. Hall,06/22/1982,616,,Polk,Common in open areas between rows of citrus grove,"Harmon Brothers Grove, se Haines City",(F. Muell.) Hughes,Brachiaria piligera,FL
5176cc55de59d928e8000057,Herbarium,516dc085ea30524109001a44,000052891.large.png,not-logged-in,2013-04-23 18:00:47,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000 ft.",(Raf.) A. Nels,SEDUM INTEGRIFOLIUM,CO
5176cc5ade59d928e8000062,Herbarium,516dbe9fea30524109001722,000035135.large.png,not-logged-in,2013-04-23 18:00:53,Victoria I. Sullivan,09/12/1969,1288,,Citrus,"growing on burned over hummock (spoil) surrounded by salt marsh, growing with E. mikanioides",Oxella Rd. 3 miles W of US 19,putative,Eupatorium rotundifolium X makinioides,FL
5176cc55ded9103e3c0000b3,Herbarium,516dba1cea30524109001003,000053817.large.png,user1827,2013-04-23 18:00:53,R. K. Godfrey,08/23/1973,72532,,placeholder,"Small mountain meadow, el 11,000 ft.","Red Mt. Pass, N of Siverton",A. Nels,Sedum Integrifolium,CO
5176cc57de59d928e800005a,Herbarium,516dbd79ea30524109001537,000015404.large.png,not-logged-in,2013-04-23 18:00:55,Richard S. Mitchell,07/29/1960,463,,Jackson,Rich calcarious soil of woodland,Marianna Caverns State Park,L.,Aristolochia serpentaria,FL
5176cc5ede59d928e8000067,Herbarium,516db8f3ea30524109000df8,000049983.large.png,not-logged-in,2013-04-23 18:00:57,R. Kral,08/10/1958,7805,,Levy,Moist sands of depression in pine flatwoods,5 miles SE Lebanon Station,Malme,Xyris curtissii Malme,FL
5176cc55ded9103e3c0000b4,Herbarium,516db9f1ea30524109000fbb,000016375.large.png,user1003,2013-04-23 18:00:58,R. Kral,10/09/1969,37700,,Etowah,"sandy loam of disturbed, open, lobally pine flatwoods. Ligules white; leaves extrememly variable.","SE side Attalla onAla 77; sandy loam of disturbed, open, loblolly pine flatwoods.",(T.&G.) Milstead,Prenanthes barbata,AL
5176cc61de59d928e800006a,Herbarium,516db7d8ea30524109000c12,000044651.large.png,not-logged-in,2013-04-23 18:01:00,Robert K. Godfrey with R. W. Simons & Angus Gholson,,81425,,Marion,"Abundant, wet woodland","Morman Branch of Juniper Spring Creek, a little E of Fla. Rt. 19 ca 1/4 mile S of Juniper Spring Creek",(Lam.) Judd,AGARISTA POPULIFOLIA,FL
5176cc67de59d928e800006f,Herbarium,516db61bea3052410900090d,000052286.large.png,not-logged-in,2013-04-23 18:01:06,R.K Godfrey,08/23/1973,72532,,Ouray,"Small mountain medow, el 11,000 ft","Red Mt. Pass, N of Silverton, el 11,000 ft",A. Nels,Sedum Intergrifolium,CO
5176cc69de59d928e8000073,Herbarium,516dc39bea30524109001f1e,000056352.large.png,not-logged-in,2013-04-23 18:01:08,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000 ft.",(Raf.) A. Nels,Sedum Integrifolium,CO
5176cc75de59d928e8000077,Herbarium,516dbcc5ea3052410900147a,000051305.large.png,not-logged-in,2013-04-23 18:01:20,R K Godfrey,08/23/1973,72532,,Ouray,"Small mountain meadow, Red Mt. Pass",N of Silverton,(Raf.) A. Nels,Sedum Integrifolium,CO
5176cc6bded9103e3c0000c3,Herbarium,516dbf58ea30524109001853,000051311.large.png,not-logged-in,2013-04-23 18:01:20,Collected by. R. K. Godfrey,08/23/1973,No. 72532 DET. RKG,,Ouray,Date 23 August 1973,"Small mountain meadow, Red Mt. Pass, N of Silverton, el 11,000 ft.",SEDUM INTEGRIFOlIUM (Raf.) A. Nels,"Herbarium of florida state university, Tallahassee",CO
5176cc71ded9103e3c0000c6,Herbarium,516dbe98ea30524109001716,000047801.large.png,not-logged-in,2013-04-23 18:01:21,S. W. Leonard,02/19/1983,8038,,Citrus,sucker sprouts from a bush-hogged palm hammock,"north side of Rt. 44, ca. 1 mi. from western end near mouth of Crystal River",S. W. Leonard,Tilia,FL
5176cc70ded9103e3c0000c5,Herbarium,516dbba4ea305241090012b3,000009244.large.png,not-logged-in,2013-04-23 18:01:25,Loran C. Anderson,,"17,256",,Leon,"Frequent in drying sandy loam along edge of pine-oak woodland just SW of horse trailer entrance, S of Miller Landing Rd.","W of Meridian Rd, N of Tallahassee, T2N, R1W, SE1/4 Sec 25",,Aster undulatus,FL
5176cc78ded9103e3c0000c8,Herbarium,516db898ea30524109000d54,000057127.large.png,not-logged-in,2013-04-23 18:01:33,R. K. Godrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Small mountain meadow, Rd Mt. Pass, N of Silverton, el 11,000 ft.",(Raf.) A. Nels,Sedum Integrifolium,CO
5176cc7aded9103e3c0000cc,Herbarium,516db81eea30524109000c8c,000052873.large.png,not-logged-in,2013-04-23 18:01:35,r k godfrey,08/23/1973,72532,,Ouray,small mountain pass,"small mountain meadow, red mountain pass, n of silverton, el 11,oo ft",r k godfrey,sedum integrifolium (raf) a. nels,CO
5176cc84ded9103e3c0000db,Herbarium,516dc3d6ea30524109001f77,000050640.large.png,not-logged-in,2013-04-23 18:01:40,R.K. Godfrey,08/23/1973,72532,,Ouray,Small Mountain Meadow,"Red Mt. Pass, N of Silverton el 11,000 ft",(Raf.) A. Nels,Sedum Integrigolium,CO
5176cc80ded9103e3c0000d5,Herbarium,516db50bea3052410900073a,000056640.large.png,user1191,2013-04-23 18:01:41,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Small mountain meadow, Red Mt. Pass, N of Silverton, el 11,000 ft.",A. Nels,Sedum Integrifolium,CO
5176cc81ded9103e3c0000d7,Herbarium,516dbc3bea30524109001395,000052833.large.png,not-logged-in,2013-04-23 18:01:42,R.K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000 ft.",A. Nels,Sedum Integrifolium,CO
5176cc95ded9103e3c0000e6,Herbarium,516dc031ea305241090019aa,000051368.large.png,not-logged-in,2013-04-23 18:01:56,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000 ft.",A. Nels,Sedum integrifolium,CO
5176cc97de59d928e8000088,Herbarium,516dc20dea30524109001ce0,000023159.large.png,user759,2013-04-23 18:01:59,Loran C. Anderson,,"19,316",,Nassau,Frequent in wet sandy loam at edge of woodland,"bordering Little St. Marys River at Rte 115A bridge, 3.3 mi NE of Hwy 301 (and Hilliard).",(HBK) R.&S.,Eleocharis montana,FL
5176cc9ede59d928e800008c,Herbarium,516dc1a2ea30524109001c1f,000040567.large.png,user554,2013-04-23 18:02:01,R K Godfrey,09/14/1963,63065,,placeholder,"turkey oak, longleaf pine sandridge",ca 5 miles SE of Tallahassee,Schult,Sytrlame cagratum,placeholder
5176cc97ded9103e3c0000e9,Herbarium,516dba19ea30524109001000,000052731.large.png,not-logged-in,2013-04-23 18:02:04,R. K. Godfrey,08/23/1973,72532,,Ouray,Small Mountain meadow,"Small Mountain Meadow, Red Mt. Pass, N of Silverton, el 11,000 ft.",R. K. Godfrey,SEDUM INTEGRIFOLIUM (Raf.) A. Nels,CO
5176cca1de59d928e800008e,Herbarium,516db2fbea3052410900030c,000008727.large.png,not-logged-in,2013-04-23 18:02:09,Penny Yeager,02/25/1957,,,Highlands,in cultivation,Sebring,,Senecio confusus,FL
5176cc9eded9103e3c0000f1,Herbarium,516db356ea305241090003c5,000052713.large.png,user2306,2013-04-23 18:02:11,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000 ft",A. Nels,Sedum Integrifolium,CO
5176cca9de59d928e8000099,Herbarium,516db1b6ea3052410900009c,000052744.large.png,not-logged-in,2013-04-23 18:02:12,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000 ft.",(Raf.) A. Nels,Sedum Integrifolium,CO
5176ccaade59d928e800009a,Herbarium,516dbabbea3052410900111d,000044667.large.png,not-logged-in,2013-04-23 18:02:13,R. K. Godfrey,07/22/1960,60089,,Levy,"Shrub, pine flatwoods","Shurb, pine flatwoods, ca. 11 miles north of Cedar Key",,Befaria racemosa Vent,FL
5176ccacde59d928e800009c,Herbarium,516db9a5ea30524109000f35,000050878.large.png,not-logged-in,2013-04-23 18:02:20,R. K. Godfrey,08/23/1973,72532,,Ouray,Mountain Pass,"Small mountain, Red Mt. Pass, N of Sliverton, el 11,000 ft.",(Raf.) A. Nels,SEDUM INTEGRIFOLIUM,CO
5176ccacded9103e3c0000fa,Herbarium,516db797ea30524109000b99,000051770.large.png,not-logged-in,2013-04-23 18:02:25,"N od Silverton, el 11,000 ft",08/23/1973,Date 23 August 1973,,unknown,"Small mountain meadow , Red Mt. Pass,",SEDUM INTEGRIFOLIUM (Ref) A. Nels,ORAY,Colorado,FL
5176ccb3de59d928e80000a1,Herbarium,516dbb5fea30524109001245,000049103.large.png,not-logged-in,2013-04-23 18:02:27,Loran C. Anderson,,22512,,Wakulla,"Mesic coastal, calcareous hammock",St. Marks National Wildlife Refuge,Mill,Solidago rugosa,FL
5176ccbcde59d928e80000b0,Herbarium,516db465ea305241090005f2,000052341.large.png,not-logged-in,2013-04-23 18:02:31,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000 ft.",(Raf.) A. Nels,Sedum integrifolium,CO
5176ccbaded9103e3c000104,Herbarium,516db3feea30524109000521,000023904.large.png,user1382,2013-04-23 18:02:34,Gary R. Knight,07/26/1982,671,,Jackson,"A sandy, wet overflow area of a small stream. Locally abundant as long as the soil it was growing in was fairly wet.","0,3 mi. N. of little Zion Baptist church",Coville,Fuirena breviseta Coville,FL
5176ccbbde59d928e80000ae,Herbarium,516dbf4dea30524109001841,000050678.large.png,user371,2013-04-23 18:02:35,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"N of Silverton, el 11,000 ft.",(Raf.) A. Nels,SEDUM INTEGRIFOLIUM,CO
5176ccbeded9103e3c00010c,Herbarium,516db9e8ea30524109000fad,000052720.large.png,not-logged-in,2013-04-23 18:02:38,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000 ft.",(Raf.) A. Nels,SEDUM INTEGRIFOLIUM,CO
5176ccc1de59d928e80000b2,Herbarium,516db48cea30524109000642,000047073.large.png,user1736,2013-04-23 18:02:41,Wilson Baker,04/27/1983,s.n.,,Liberty,"High pineland, now turkey oak","Sand ridge between Kelly Branch and Little Sweetwater ravine, North of Bristol",Wilson Baker,Ilex decidua,FL
5176ccbdded9103e3c00010b,Herbarium,516db372ea305241090003fc,000044641.large.png,not-logged-in,2013-04-23 18:02:42,Richard S. Mitchell,07/16/1960,414,,Jackson,Dry open woodland,Marianna Caverns State Park ,L.,Polymnia uvedalia,FL
5176cccade59d928e80000ba,Herbarium,516db96bea30524109000ec0,000054179.large.png,not-logged-in,2013-04-23 18:02:45,R. K. Godfrey,08/23/1973,72532,,placeholder,Small Mountain Meadow,"Small mountain meadow, Red Mt. Pass N of Silverton, el 11,000 ft.",R. K. Godfrey,Sedum Integrifolium,placeholder
5176ccc6ded9103e3c000111,Herbarium,516db956ea30524109000e9b,000050337.large.png,not-logged-in,2013-04-23 18:02:46,R. K. Godfrey,09/29/1956,55179,,Leon,,"Spring-run, down the slope of a sand ridge, at 'The Cascades', 10 miles west of Tallahassee",,Xyris Playylepis Chapm.,FL
5176ccc8de59d928e80000b8,Herbarium,516db73bea30524109000afa,000047751.large.png,not-logged-in,2013-04-23 18:02:48,Gary R. Knight,07/26/1982,656,,Jackson," Growing in dry, sandy soil.",0.3 mi N. of Little Zion Baptist church.,(Michx.) Nees,Seriocarpus tortifolius,FL
5176ccd9de59d928e80000c5,Herbarium,516dbb11ea305241090011c3,000008772.large.png,not-logged-in,2013-04-23 18:03:00,Robert K. Godfrey with Angus Gholson,11/11/1983,81056,,Jackson,open calcareous glade,"2.1 miles N of U.S. Rt. 90 at Marianna, by Bumpnose road",Robert K. Godfrey,Aster Dumosus L.,FL
5176ccd5de59d928e80000c2,Herbarium,516db1c8ea305241090000be,000024118.large.png,not-logged-in,2013-04-23 18:03:01,Loran C. Anderson,,18119,,Putnam,Frequent amongst grasses of wet roadside depression,"near Moorings Motel and Marina, E of Hwy 17, ca. 0.5 mi N of Paltaka",(Cov.) G. Tucker,Lipocarpha aristulata,FL
5176ccd7ded9103e3c000118,Herbarium,516db8ddea30524109000dd4,000053535.large.png,not-logged-in,2013-04-23 18:03:03,R. K. Godfrey,08/23/1973,72532,,Ouray,"Small mountain meadow, Red Mt. Pass","N of Silverton, el 11,000 ft.",R. K. Godfrey,SEDUM INTEGRIFOLIUM (Raf.) A. Nels,CO
5176ccd8ded9103e3c000119,Herbarium,516dc1b9ea30524109001c49,000071373.large.png,not-logged-in,2013-04-23 18:03:04,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, North of Silverton, el. 11,000 ft.",A. Nels,sedum integrifolium ,CO
5176cce0de59d928e80000ca,Herbarium,516dbf9aea305241090018b1,000071428.large.png,not-logged-in,2013-04-23 18:03:07,R. K. Godfrey,08/23/1973,72532,,Ouray,"N of Silverton el 11,000 ft.",Small Mountain Meadow ,A. Nels,SEDUM INTEGRIFOLIUM,CO
5176ccdbded9103e3c00011e,Herbarium,516db917ea30524109000e39,000052434.large.png,not-logged-in,2013-04-23 18:03:07,R. K. Godfrey,08/23/1973,72532,,Ouray,"Small mountain meadow, el 11,000 ft","Red Mt. Pass, N of Silverton",A. Nels,Sedum Integrifolium,CO
5176cceade59d928e80000d4,Herbarium,516db31dea30524109000353,000054915.large.png,not-logged-in,2013-04-23 18:03:17,R. K. Godfrey,08/23/1973,72532,,Ouray,Mountain meadow,"Small mountain Medow, Red Mt. Pass",A. Nels,Sedum Integrifolium [Raf.] A. Nels,CO
5176cce1ded9103e3c000123,Herbarium,516db38eea30524109000435,000049989.large.png,not-logged-in,2013-04-23 18:03:18,Jean Wooten,05/13/1966,262,,Leon,,"S.kR. 375, 8 miles south S.R. 20",Chapm.,Xyris difformis Chapm. var. floridana,FL
